"","Med_Risk_25_SI_R","Med_Risk_50_ModI_R","Med_Ambig_24_ModI_R","Med_Ambig_74_ModI_R","Med_Risk_75_MajI_R","Med_Ambig_50_MajI_R","Med_Ambig_100_MajI_G","Med_Risk_75_R_R","Med_Ambig_50_SI_B","Med_Risk_50_ModI_B","Med_Ambig_50_MajI_B","Med_Ambig_100_MajI_G.1","Med_Risk_25_R_B","Med_Ambig_100_SI_G","Med_Risk_25_MajI_R","Med_Ambig_24_MajI_R","Med_Risk_25_R_R","Med_Risk_50_SI_B","Med_Risk_75_ModI_B","Med_Ambig_24_ModI_B","Med_Risk_50_MajI_B","Med_Risk_75_R_B","Med_Ambig_50_R_B","Med_Ambig_76_R_B","Med_Ambig_76_SI_R","Med_Risk_25_ModI_R","Med_Ambig_50_ModI_R","Med_Ambig_100_ModI_G","Med_Risk_50_MajI_R","Med_Risk_50_R_R","Med_Ambig_50_R_R","Med_Ambig_76_R_R","Med_Ambig_50_ModI_B","Med_Risk_25_MajI_B","Med_Risk_75_MajI_B","Med_Ambig_24_MI_B","Med_Ambig_74_MajI_B","Med_Ambig_100_R_G","Med_Risk_75_SI_R","Med_Risk_75_ModI_R","Med_Ambig_74_MajI_R","Med_Ambig_24_R_R","Med_Ambig_100_R_G.1","Med_Ambig_24_SI_B","Med_Risk_25_ModI_B","Med_Ambig_74_ModI_B","Med_Ambig_100_ModI_G.1","Med_Risk_50_R_B","Med_Ambig_24_R_R.1"
"11","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0"
"19","0","1","1","1","1","1","0","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0","0","0","1","0","1","1"
"21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15","0","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1"
"14","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"16","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"46","0","1","1","1","1","1","1","1","0","0","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"25","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"31","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"28","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"32","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"29","0","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"30","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1"
"33","0","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","0","1","1"
"38","1","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","0","0","1","0","0","1","1"
"34","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"37","0","1","0","0","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1"
"35","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"36","0","0","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1"
"52","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","1","1","0","1","1","1","1","1","0","0","1","0","1","1"
"40","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"42","0","1","1","0","1","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"44","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
"49","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","1","1","0","1","1","0","1","0","0","1","0","0","0"
"45","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1"
"47","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","1","1","1","0","1","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","1","1"
"48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"51","0","1","1","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","0","1","1","1","0","0","1","1","1","0","0","0","0","0","1","1"
"53","0","0","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","1","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"54","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"55","0","1","1","1","1","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"56","0","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1"
"57","0","1","1","0","1","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1"
"58","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"59","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1"
"60","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1"
